795;651;4.658;329;563;5.578;1.047;882;3.367;3.154;1.638;3.962;666;2.943;1.545;3.584;2.964;1.42;3.666;2.983;3.51;5.264;6.25;3.655;3.101;3.009;4.522;6.222;6.056;5.909
4.574;5.741;709;4.894;3.145;3.294;4.826;5.447;2.902;2.718;3.853;2.407;5.621;6.385;5.46;7.213;6.947;6.582;7.358;8.145;8.672;2.98;5.03;7.793;7.259;6.267;7.029;5.091;4.925;3.982
4.124;5.288;484;4.441;2.692;4.164;4.376;4.997;2.744;2.56;3.695;3.608;5.168;6.227;5.308;7.057;6.789;6.129;7.199;7.692;8.219;3.85;4.872;7.653;7.119;6.109;6.889;4.933;4.767;4.495
603;1.103;2.822;209;192;6.68;855;1.476;4.469;4.256;1.782;5.064;983;3.395;1.997;4.043;3.416;1.872;4.121;3.435;3.962;6.366;7.352;4.104;4.896;3.461;4.666;7.324;7.158;7.011
7.355;8.543;6.367;9.379;8.762;1.608;7.115;7.751;3.859;3.846;6.176;6.878;8.102;8.708;7.789;9.542;9.27;8.967;9.687;11.193;11.276;1.516;2.57;10.134;9.6;8.59;9.37;2.703;2.503;2.296
357;1.368;4.439;893;1.008;4.975;382;609;2.77;2.557;1.041;3.365;939;2.181;1.326;2.83;2.202;1.456;3.423;3.019;3.546;4.661;5.647;2.893;4.151;2.247;3.925;5.625;5.459;5.306
3.934;5.098;422;4.251;2.502;4.33;4.186;4.807;2.91;2.726;3.861;3.774;4.978;6.389;5.091;7.227;6.951;5.942;7.996;7.502;8.029;4.016;5.038;7.819;7.285;6.271;7.055;5.099;4.933;4.661
4.38;5.568;2.936;6.404;5.787;1.472;4.14;4.776;300;383;3.201;3.46;5.127;5.733;4.814;6.567;6.295;5.99;6.709;8.227;8.31;1.158;2.144;7.155;6.625;5.615;6.395;2.205;2.039;1.803
2.836;4.024;2.644;4.86;4.243;1.892;2.596;3.232;443;288;1.657;1.203;3.583;4.189;3.27;5.023;4.751;4.448;5.165;6.683;6.766;1.578;2.571;5.615;5.081;4.071;4.851;2.632;2.466;2.223
1.101;2.289;3.908;1.655;1.77;4.177;861;1.497;1.966;1.753;549;2.561;1.848;2.908;1.535;3.288;2.879;2.713;3.43;4.951;5.034;3.863;4.849;2.447;3.952;2.851;3.722;4.821;4.652;4.505
1.179;2.367;3.695;1.733;1.848;3.964;939;1.575;1.753;1.54;63;2.348;1.926;2.571;1.613;3.629;3.133;2.791;4.44;5.029;5.112;3.65;4.636;2.123;3.946;2.453;3.716;4.608;4.436;4.292
7.872;9.036;4.496;8.189;6.44;3.94;6.379;7.015;4.201;4.311;5.446;3.868;8.916;7.978;7.053;8.806;8.54;8.231;8.948;10.469;10.552;3.848;4.902;9.395;8.861;7.86;8.631;5.035;4.835;4.628
8.068;9.232;4.654;8.385;6.636;3.568;6.386;7.022;4.005;3.992;5.45;3.872;9.112;7.982;7.06;8.813;8.544;8.238;8.955;10.476;10.557;3.476;4.53;9.408;8.874;7.864;8.644;4.663;4.463;4.256
3.563;4.751;3.644;5.587;4.97;3.957;3.323;3.959;3.024;1.383;2.384;832;4.31;4.916;3.997;5.75;5.478;5.175;5.892;7.407;7.49;3.643;4.668;6.342;5.808;4.798;5.578;4.973;4.807;4.288
1.704;996;3.725;1.238;687;7.223;1.956;1.635;5.012;4.799;2.694;5.607;831;3.288;1.89;3.937;3.309;1.851;4.029;2.826;3.501;6.909;7.895;4;3.446;3.354;3.148;7.867;7.701;7.554
1.512;381;4.1;1.046;1.026;6.097;1.764;1.02;3.886;3.673;2.157;4.481;216;2.673;1.275;3.325;2.694;1.15;3.399;2.832;3.24;5.783;6.769;3.385;2.831;2.739;2.533;6.741;6.575;6.428
2.846;1.703;6.015;2.635;2.869;6.276;1.554;1.619;4.073;3.86;2.436;4.668;1.85;204;1.023;1.052;643;1.947;1.089;3.9;3.983;5.962;6.948;1.177;1.563;531;2.618;6.92;6.754;6.607
1.453;1.607;5.104;2.007;2.122;5.373;1.213;1.523;3.162;2.949;899;3.757;1.754;2.246;948;2.701;2.808;1.29;2.843;4.364;4.447;5.059;6.045;1.66;1.658;2.128;1.36;6.014;5.848;5.704
3.144;2.001;6.31;2.933;3.167;6.578;1.852;1.917;4.371;4.158;2.905;4.966;2.148;331;1.321;748;220;2.164;1.079;2.827;2.294;6.264;7.25;1.613;1.999;967;3.087;7.222;7.056;6.909
2.092;838;6.174;1.77;2.004;5.861;2.467;1.009;3.654;3.441;1.925;4.249;985;1.74;354;2.765;2.065;159;2.386;2.496;2.579;5.547;6.533;2.92;2.028;2.274;1.73;6.505;6.339;6.192
3.923;2.669;8.005;3.601;3.835;7.455;2.601;2.84;5.241;5.028;3.505;5.836;2.816;1.223;2.129;837;1.297;2.541;476;1.489;1.47;7.141;8.127;2.246;2.632;1.6;3.687;8.099;7.933;7.786
3.736;2.482;7.818;3.414;3.648;9.116;4.111;2.653;6.905;6.692;5.176;7.5;2.629;2.613;3.231;2.746;3.05;2.724;2.367;123;1.68;8.802;9.788;5.05;5.436;4.404;4.979;9.76;9.588;9.444
3.858;2.604;7.934;3.536;3.77;8.794;4.233;2.775;6.583;6.37;4.854;7.178;2.751;2.228;2.909;1.672;2.689;2.402;1.82;1.135;466;8.48;9.466;4.728;5.11;4.082;4.661;9.438;9.272;9.125
4.25;5.438;3.307;6.268;5.657;923;4.01;4.646;671;754;3.071;3.96;4.997;5.599;4.684;6.437;6.161;5.862;6.582;8.1;8.183;609;1.595;7.029;6.495;5.481;6.265;1.612;1.395;1.254
4.796;5.984;3.817;6.82;6.203;410;4.556;5.192;1.217;1.293;3.617;4.134;5.543;6.149;5.23;6.983;6.711;6.408;7.128;8.646;8.729;93;1.226;7.563;7.029;6.031;6.799;1.226;1.026;738
5.755;6.943;4.812;7.773;7.156;982;5.515;6.151;2.176;2.259;4.576;5.132;6.502;7.108;6.189;7.942;7.67;7.367;8.087;9.605;9.688;1.112;64;8.534;8;6.99;7.77;501;578;329
2.807;2.363;7.537;3.361;3.476;7.806;2.567;2.279;5.592;5.382;2.031;6.19;2.51;1.323;2.298;2.381;1.885;2.994;3.192;4.947;5.03;7.492;8.478;128;378;669;636;8.45;8.284;8.137
4.343;2.405;7.151;4.897;6.864;7.42;4.103;2.321;5.209;4.996;3.978;5.804;2.552;1.931;1.602;2.989;2.493;2.01;3.8;5.086;5.169;7.106;8.092;736;250;1.277;250;8.064;7.898;7.751
2.899;2.455;7.147;3.45;6.872;7.428;2.659;2.371;5.217;5.004;2.123;5.812;2.602;1.667;1.652;2.725;2.229;2.06;3.536;5.291;5.374;7.114;8.1;472;48;1.013;258;8.072;7.906;7.759
1.818;1.37;4.674;2.372;2.487;4.943;1.578;1.286;2.732;2.519;1.042;3.327;1.517;1.087;1.318;2.145;1.649;1.852;2.956;4.219;4.302;4.629;5.615;915;697;69;913;5.587;5.421;5.274
1.199;2.387;4.157;1.753;1.868;4.426;959;1.595;2.215;2.002;525;2.81;1.946;2.735;1.354;3.793;3.297;1.762;4.604;4.838;4.921;4.112;5.083;3.331;2.797;1.463;2.567;5.064;4.898;4.757
4.227;2.295;7.029;4.781;6.742;7.298;3.987;2.211;5.087;4.874;3.856;5.682;2.442;2.893;1.492;3.951;3.455;1.9;4.762;4.976;5.055;6.984;7.97;868;454;1.409;120;7.942;7.776;7.629
5.864;7.052;5.016;7.894;7.277;1.488;5.624;6.26;2.38;2.463;4.691;5.58;6.611;7.223;6.298;8.051;7.785;7.476;8.193;9.714;9.797;1.386;1.288;8.649;8.115;7.105;7.885;214;633;1.601
5.09;6.278;4.242;7.117;6.5;1.628;4.85;5.486;1.606;1.689;3.917;4.806;5.837;6.446;5.526;7.279;7.008;6.702;7.424;8.942;9.025;1.314;1.058;7.872;7.338;6.328;7.108;832;537;1.359
5.591;6.779;4.737;7.609;6.992;1.335;5.351;5.987;2.101;2.184;4.412;5.301;6.338;6.944;6.025;7.778;7.506;7.203;7.923;9.441;9.524;1.233;781;8.37;7.836;6.826;7.606;220;285;1.2
5.756;6.944;4.813;7.777;7.16;705;5.516;6.152;2.177;2.26;4.577;5.133;6.503;7.109;6.187;7.94;7.671;7.368;8.085;9.603;9.686;496;791;8.526;7.992;6.991;7.762;809;609;570
1.34;2.528;5.381;1.894;2.009;5.644;1.1;1.736;3.439;3.226;666;4.034;2.087;2.765;1.384;3.823;3.327;1.792;4.634;4.859;4.942;5.33;6.322;3.139;2.605;1.493;2.375;6.294;6.128;5.975
